sample_id,model,model_output_ingredients,ground_truth_ingredients,ingredients_accuracy_0_100
upload_1749840444495_ce8fbfbc-988e-4ee6-9e52-d7ebdf4a58bc,gpt-4.1,"[{""name"": ""bread rolls"", ""impact"": ""yellow""}, {""name"": ""juice box"", ""impact"": ""red""}]","[{""name"": ""refined wheat flour"", ""impact"": ""red""}, {""name"": ""sugar"", ""impact"": ""red""}, {""name"": ""butter or oil"", ""impact"": ""yellow""}, {""name"": ""yeast"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]",0.00
upload_1749840712880_d8cedf37-9bdb-4ff5-8e21-6a6a740ae409,gpt-4.1,"[{""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""cauliflower"", ""impact"": ""green""}, {""name"": ""sautéed greens"", ""impact"": ""green""}, {""name"": ""couscous"", ""impact"": ""yellow""}, {""name"": ""onion rings"", ""impact"": ""red""}, {""name"": ""hummus"", ""impact"": ""green""}]","[{""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""cauliflower"", ""impact"": ""green""}, {""name"": ""couscous"", ""impact"": ""yellow""}, {""name"": ""fried onion ring"", ""impact"": ""red""}, {""name"": ""dip/sauce (likely hummus)"", ""impact"": ""yellow""}]",50.00
upload_1749840740344_7e95ee66-1e26-4892-9ce4-b79960061c19,gpt-4.1,"[{""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""potatoes"", ""impact"": ""yellow""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""herbs/spices"", ""impact"": ""green""}, {""name"": ""minced meat"", ""impact"": ""yellow""}]","[{""name"": ""carrots"", ""impact"": ""yellow""}, {""name"": ""zucchini"", ""impact"": ""green""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""onion"", ""impact"": ""yellow""}, {""name"": ""minced meat"", ""impact"": ""green""}, {""name"": ""herbs/seasoning"", ""impact"": ""green""}]",16.67
upload_1749841037102_96ccbf66-4c05-45dc-8920-fd6ef54fcd0d,gpt-4.1,"[{""name"": ""white rice"", ""impact"": ""yellow""}, {""name"": ""black beans"", ""impact"": ""green""}, {""name"": ""tomato salsa"", ""impact"": ""green""}, {""name"": ""sour cream"", ""impact"": ""yellow""}, {""name"": ""chopped vegetables"", ""impact"": ""green""}]","[{""name"": ""white rice"", ""impact"": ""red""}, {""name"": ""black beans"", ""impact"": ""green""}, {""name"": ""salsa (tomato, onion, pepper)"", ""impact"": ""green""}, {""name"": ""sour cream or cheese"", ""impact"": ""yellow""}, {""name"": ""cilantro/herbs"", ""impact"": ""green""}]",20.00
upload_1749841435404_d2ac9183-048d-4cec-9b9b-a878628e4b30,gpt-4.1,"[{""name"": ""plain yogurt"", ""impact"": ""green""}, {""name"": ""blueberries"", ""impact"": ""green""}, {""name"": ""red currants"", ""impact"": ""green""}]","[{""name"": ""plain yogurt (unsweetened, low-fat)"", ""impact"": ""green""}, {""name"": ""blueberries"", ""impact"": ""green""}, {""name"": ""red currants"", ""impact"": ""green""}]",66.67
upload_1749841861682_5e0c8e9d-bcff-4db4-bd59-62aa98119dec,gpt-4.1,"[{""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""potatoes"", ""impact"": ""yellow""}, {""name"": ""cream sauce"", ""impact"": ""yellow""}]","[{""name"": ""potatoes"", ""impact"": ""yellow""}, {""name"": ""carrots"", ""impact"": ""green""}, {""name"": ""broccoli"", ""impact"": ""green""}, {""name"": ""cream sauce (milk/cheese/butter)"", ""impact"": ""yellow""}]",75.00
upload_1749843287038_40cbba8a-21fa-447a-88ce-54e9d8f8708a,gpt-4.1,"[{""name"": ""roti (whole wheat flatbread)"", ""impact"": ""yellow""}, {""name"": ""steamed rice"", ""impact"": ""yellow""}, {""name"": ""dal (lentil curry)"", ""impact"": ""green""}, {""name"": ""vegetable curry"", ""impact"": ""green""}, {""name"": ""curd (yogurt)"", ""impact"": ""green""}, {""name"": ""ghee"", ""impact"": ""red""}, {""name"": ""papad"", ""impact"": ""red""}, {""name"": ""pickle"", ""impact"": ""red""}, {""name"": ""salad"", ""impact"": ""green""}]","[{""name"": ""chapati (wheat flatbread)"", ""impact"": ""yellow""}, {""name"": ""steamed white rice"", ""impact"": ""red""}, {""name"": ""dal (lentil soup)"", ""impact"": ""green""}, {""name"": ""vegetable curry"", ""impact"": ""green""}, {""name"": ""yogurt"", ""impact"": ""green""}, {""name"": ""papad (poppadom)"", ""impact"": ""yellow""}, {""name"": ""ghee (clarified butter)"", ""impact"": ""red""}, {""name"": ""pickle"", ""impact"": ""yellow""}]",12.50
upload_1749843713632_58c8331c-7aec-4895-a51b-cb92988cade5,gpt-4.1,"[{""name"": ""water"", ""impact"": ""green""}, {""name"": ""broth base (vegetable or meat)"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""yellow""}]","[{""name"": ""hot water"", ""impact"": ""green""}, {""name"": ""ginger"", ""impact"": ""green""}, {""name"": ""lemon juice"", ""impact"": ""green""}, {""name"": ""vitamin d+k drops"", ""impact"": ""green""}]",0.00
upload_1749850518596_ae5c6336-732a-432f-a1c1-a64db860a708,gpt-4.1,"[{""name"": ""espresso"", ""impact"": ""green""}, {""name"": ""pound cake"", ""impact"": ""yellow""}]","[{""name"": ""espresso coffee"", ""impact"": ""green""}, {""name"": ""sugar (in cake)"", ""impact"": ""red""}, {""name"": ""flour (in cake)"", ""impact"": ""yellow""}, {""name"": ""butter or oil (in cake)"", ""impact"": ""yellow""}, {""name"": ""egg (in cake)"", ""impact"": ""green""}]",0.00
upload_1749865296179_d1a4da8d-8804-480e-b835-072f845e11f8,gpt-4.1,"[{""name"": ""flour tortilla"", ""impact"": ""yellow""}, {""name"": ""scrambled eggs"", ""impact"": ""green""}, {""name"": ""black beans"", ""impact"": ""green""}, {""name"": ""onions"", ""impact"": ""green""}]","[{""name"": ""flour tortilla"", ""impact"": ""red""}, {""name"": ""egg"", ""impact"": ""green""}, {""name"": ""black beans"", ""impact"": ""yellow""}, {""name"": ""onion"", ""impact"": ""green""}, {""name"": ""oil or butter"", ""impact"": ""yellow""}]",0.00
upload_1749869835174_55f1390a-6ea3-4033-a016-b8a4c30d28a1,gpt-4.1,"[{""name"": ""tuna"", ""impact"": ""green""}, {""name"": ""avocado"", ""impact"": ""green""}, {""name"": ""fish roe"", ""impact"": ""yellow""}, {""name"": ""savory sauce (soy-based)"", ""impact"": ""red""}, {""name"": ""noodles or greens"", ""impact"": ""yellow""}]","[{""name"": ""tuna"", ""impact"": ""green""}, {""name"": ""avocado"", ""impact"": ""green""}, {""name"": ""fish roe"", ""impact"": ""green""}, {""name"": ""soy-based sauce or dressing"", ""impact"": ""yellow""}]",50.00
upload_1749872693154_5d23dac1-9118-4776-ad69-9853f8e513fa,gpt-4.1,"[{""name"": ""sushi rice"", ""impact"": ""yellow""}, {""name"": ""seared beef"", ""impact"": ""red""}, {""name"": ""green chili"", ""impact"": ""green""}, {""name"": ""soy sauce"", ""impact"": ""yellow""}, {""name"": ""wasabi"", ""impact"": ""green""}, {""name"": ""pickled ginger"", ""impact"": ""green""}, {""name"": ""nori (seaweed)"", ""impact"": ""green""}]","[{""name"": ""sushi rice"", ""impact"": ""yellow""}, {""name"": ""beef (seared)"", ""impact"": ""green""}, {""name"": ""sliced peppers"", ""impact"": ""green""}, {""name"": ""wasabi"", ""impact"": ""green""}, {""name"": ""pickled ginger"", ""impact"": ""green""}, {""name"": ""soy sauce (optional)"", ""impact"": ""yellow""}]",50.00
upload_1749875264239_2a7fbe6a-e779-46e6-ac22-82d88a66ea3c,gpt-4.1,"[{""name"": ""strawberries"", ""impact"": ""green""}, {""name"": ""pistachios"", ""impact"": ""yellow""}, {""name"": ""cream or cheese"", ""impact"": ""red""}, {""name"": ""granita/ice (possible sugar)"", ""impact"": ""yellow""}]","[{""name"": ""strawberries"", ""impact"": ""yellow""}, {""name"": ""burrata cheese"", ""impact"": ""green""}, {""name"": ""granita (sweetened ice)"", ""impact"": ""red""}, {""name"": ""pistachios"", ""impact"": ""green""}]",0.00
upload_1750038317524_55c71fd4-30e1-4e8b-93f8-86e6094f31b3,gpt-4.1,"[{""name"": ""macaroni pasta"", ""impact"": ""red""}, {""name"": ""cheese"", ""impact"": ""red""}, {""name"": ""milk/cream"", ""impact"": ""yellow""}, {""name"": ""butter"", ""impact"": ""red""}, {""name"": ""bread crumbs"", ""impact"": ""yellow""}]","[{""name"": ""pasta (rigatoni or ziti)"", ""impact"": ""red""}, {""name"": ""cheese (likely cheddar and/or mozzarella)"", ""impact"": ""yellow""}, {""name"": ""milk/cream"", ""impact"": ""yellow""}, {""name"": ""butter"", ""impact"": ""yellow""}, {""name"": ""bread crumbs/croutons"", ""impact"": ""red""}]",20.00
upload_1750038497319_6a3082e9-034c-4015-9eeb-9545000073c9,gpt-4.1,"[{""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""uncured bacon"", ""impact"": ""red""}, {""name"": ""gouda cheese"", ""impact"": ""yellow""}, {""name"": ""cream"", ""impact"": ""yellow""}, {""name"": ""salt"", ""impact"": ""red""}]","[{""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""uncured bacon"", ""impact"": ""yellow""}, {""name"": ""gouda cheese"", ""impact"": ""yellow""}, {""name"": ""milk/cream"", ""impact"": ""yellow""}, {""name"": ""seasoning"", ""impact"": ""green""}]",40.00
upload_1750091798026_6bfd2714-28cc-4f8e-9df2-8ceb92a5a071,gpt-4.1,"[{""name"": ""flour"", ""impact"": ""yellow""}, {""name"": ""sugar"", ""impact"": ""red""}, {""name"": ""butter"", ""impact"": ""red""}, {""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""baking powder"", ""impact"": ""green""}, {""name"": ""salt"", ""impact"": ""yellow""}]","[{""name"": ""refined flour"", ""impact"": ""red""}, {""name"": ""sugar"", ""impact"": ""red""}, {""name"": ""butter"", ""impact"": ""yellow""}, {""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""baking powder"", ""impact"": ""green""}, {""name"": ""vanilla extract"", ""impact"": ""green""}]",50.00
upload_1750097681033_c71afe76-f144-4a19-9dd3-19a1178957f4,gpt-4.1,"[{""name"": ""orange"", ""impact"": ""green""}]","[{""name"": ""orange"", ""impact"": ""yellow""}]",0.00
upload_1750097765140_1dccfd72-61d7-462c-b163-f5b7c348b547,gpt-4.1,"[{""name"": ""pâté"", ""impact"": ""red""}, {""name"": ""foie gras"", ""impact"": ""red""}, {""name"": ""toasted bread"", ""impact"": ""yellow""}, {""name"": ""green salad"", ""impact"": ""green""}]","[{""name"": ""toasted white bread"", ""impact"": ""red""}, {""name"": ""leafy greens (lamb's lettuce or similar)"", ""impact"": ""green""}, {""name"": ""pâté"", ""impact"": ""yellow""}, {""name"": ""foie gras"", ""impact"": ""yellow""}, {""name"": ""salad dressing (possibly creamy)"", ""impact"": ""yellow""}]",0.00
upload_1750097815654_0a961795-6af4-447c-a0a5-71f98ea66240,gpt-4.1,"[{""name"": ""kiwi"", ""impact"": ""green""}]","[{""name"": ""kiwi"", ""impact"": ""green""}]",100.00
upload_1750097849597_00cf91d6-e95f-4880-b120-76efe150b1b8,gpt-4.1,"[{""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""mixed leafy greens"", ""impact"": ""green""}, {""name"": ""yellow bell pepper"", ""impact"": ""green""}]","[{""name"": ""leafy greens (lettuce, romaine, etc.)"", ""impact"": ""green""}, {""name"": ""yellow bell pepper"", ""impact"": ""green""}]",50.00
upload_1750097945898_eefbeb4b-8dda-4ced-a7df-7e653d5c471b,gpt-4.1,"[{""name"": ""white rice"", ""impact"": ""yellow""}]","[{""name"": ""white rice"", ""impact"": ""red""}, {""name"": ""water"", ""impact"": ""green""}]",0.00
upload_1750100382667_e5dd5b7c-5a38-4304-b3a7-d8209c5d59a2,gpt-4.1,"[{""name"": ""grilled chicken"", ""impact"": ""green""}, {""name"": ""leafy green salad"", ""impact"": ""green""}, {""name"": ""salad dressing (herb-based)"", ""impact"": ""yellow""}, {""name"": ""polenta"", ""impact"": ""yellow""}, {""name"": ""pickled onions"", ""impact"": ""green""}]","[{""name"": ""grilled chicken"", ""impact"": ""green""}, {""name"": ""romaine lettuce"", ""impact"": ""green""}, {""name"": ""pickled vegetables"", ""impact"": ""green""}, {""name"": ""herb-based green dressing"", ""impact"": ""yellow""}, {""name"": ""mashed potatoes or polenta"", ""impact"": ""yellow""}]",20.00
upload_1750176632186_7794b8b1-1eec-489d-a7d2-8ff1d8e94e22,gpt-4.1,"[{""name"": ""scrambled eggs"", ""impact"": ""green""}, {""name"": ""sausage patty"", ""impact"": ""red""}, {""name"": ""hash brown"", ""impact"": ""red""}, {""name"": ""ketchup"", ""impact"": ""yellow""}, {""name"": ""black coffee"", ""impact"": ""green""}]","[{""name"": ""scrambled eggs"", ""impact"": ""green""}, {""name"": ""sausage patty"", ""impact"": ""yellow""}, {""name"": ""hash brown"", ""impact"": ""red""}, {""name"": ""ketchup"", ""impact"": ""red""}, {""name"": ""black coffee"", ""impact"": ""green""}]",60.00
upload_1750180230407_6e49bf45-0e0b-4817-9cb1-2f8e10df6977,gpt-4.1,"[{""name"": ""coffee"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]","[{""name"": ""coffee"", ""impact"": ""green""}, {""name"": ""water"", ""impact"": ""green""}]",100.00
upload_1750180679848_2b308ff1-fe70-46bb-b6a4-e1ef01c9d181,gpt-4.1,"[{""name"": ""sesame seed bun"", ""impact"": ""red""}, {""name"": ""cheese"", ""impact"": ""red""}, {""name"": ""beef patty"", ""impact"": ""red""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""arugula"", ""impact"": ""green""}, {""name"": ""fries"", ""impact"": ""red""}]","[{""name"": ""sesame seed bun"", ""impact"": ""red""}, {""name"": ""beef patty"", ""impact"": ""green""}, {""name"": ""cheese"", ""impact"": ""yellow""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""arugula/lettuce"", ""impact"": ""green""}]",40.00
upload_1750180959631_d9fa7e84-e4ef-4c30-8388-142ae1861f79,gpt-4.1,"[{""name"": ""white wine"", ""impact"": ""red""}]","[{""name"": ""white wine"", ""impact"": ""red""}]",100.00
upload_1750182735800_604d3797-d9eb-436f-997f-1d202a9bbcb4,gpt-4.1,"[{""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""red cabbage"", ""impact"": ""green""}, {""name"": ""peas"", ""impact"": ""green""}, {""name"": ""apple"", ""impact"": ""green""}, {""name"": ""seeds (pumpkin/sunflower)"", ""impact"": ""green""}, {""name"": ""salad dressing"", ""impact"": ""yellow""}]","[{""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""romaine lettuce"", ""impact"": ""green""}, {""name"": ""red cabbage"", ""impact"": ""green""}, {""name"": ""peas"", ""impact"": ""green""}, {""name"": ""apple (small pieces)"", ""impact"": ""yellow""}, {""name"": ""parmesan or hard cheese shavings"", ""impact"": ""green""}, {""name"": ""light vinaigrette dressing"", ""impact"": ""yellow""}]",42.86
upload_1750182831517_fa06a30c-cffc-40b8-9ac3-abc35e1d1635,gpt-4.1,"[{""name"": ""spinach"", ""impact"": ""green""}, {""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""red cabbage"", ""impact"": ""green""}, {""name"": ""peas"", ""impact"": ""green""}, {""name"": ""apple"", ""impact"": ""green""}, {""name"": ""light dressing"", ""impact"": ""yellow""}]","[{""name"": ""romaine lettuce"", ""impact"": ""green""}, {""name"": ""supergreen blend (kale, spinach, red cabbage)"", ""impact"": ""green""}, {""name"": ""edamame"", ""impact"": ""green""}, {""name"": ""tajin spiced pumpkin seeds"", ""impact"": ""green""}, {""name"": ""roasted beets"", ""impact"": ""yellow""}, {""name"": ""regenerative organic chickpeas"", ""impact"": ""yellow""}, {""name"": ""lemon basil vinaigrette (on the side)"", ""impact"": ""yellow""}, {""name"": ""sliced apples"", ""impact"": ""yellow""}, {""name"": ""parmesan crisp"", ""impact"": ""yellow""}, {""name"": ""shaved parmesan"", ""impact"": ""green""}]",0.00
upload_1750184236286_fe8af98c-e6e5-4246-8ab1-0ca74e1de489,gpt-4.1,"[{""name"": ""sesame seed bun"", ""impact"": ""red""}, {""name"": ""beef patty"", ""impact"": ""red""}, {""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""sauce (likely ketchup or similar)"", ""impact"": ""yellow""}]","[{""name"": ""sesame seed hamburger bun"", ""impact"": ""red""}, {""name"": ""beef patty"", ""impact"": ""yellow""}, {""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""tomato"", ""impact"": ""green""}, {""name"": ""sauce (ketchup/mayo)"", ""impact"": ""red""}]",40.00
upload_1750184275147_d931eee9-5024-4f89-94e5-64dc9a094c5a,gpt-4.1,"[{""name"": ""grilled sausage"", ""impact"": ""red""}, {""name"": ""cream sauce"", ""impact"": ""red""}, {""name"": ""eggplant"", ""impact"": ""green""}, {""name"": ""carrot"", ""impact"": ""green""}, {""name"": ""green peas"", ""impact"": ""green""}, {""name"": ""braised leeks"", ""impact"": ""green""}]","[{""name"": ""grilled sausage"", ""impact"": ""yellow""}, {""name"": ""eggplant"", ""impact"": ""green""}, {""name"": ""carrots"", ""impact"": ""yellow""}, {""name"": ""green peas"", ""impact"": ""yellow""}, {""name"": ""onions"", ""impact"": ""green""}, {""name"": ""light cream sauce"", ""impact"": ""yellow""}]",16.67
upload_1750184400484_91309b18-e132-459d-8b77-58d388eb7c92,gpt-4.1,"[{""name"": ""watermelon"", ""impact"": ""green""}]","[{""name"": ""watermelon"", ""impact"": ""yellow""}]",0.00
upload_1750184519401_0a00994e-1755-4b0c-993b-3fce1d692ca1,gpt-4.1,"[{""name"": ""penne pasta"", ""impact"": ""yellow""}, {""name"": ""pesto sauce"", ""impact"": ""red""}, {""name"": ""tofu"", ""impact"": ""green""}]","[{""name"": ""penne pasta"", ""impact"": ""yellow""}, {""name"": ""pesto sauce"", ""impact"": ""yellow""}, {""name"": ""tofu"", ""impact"": ""green""}, {""name"": ""olive oil (in pesto)"", ""impact"": ""green""}]",50.00
upload_1750184967001_dcbf0de0-d8c9-473a-96c8-b568b7b5b6ea,gpt-4.1,"[{""name"": ""green grapes"", ""impact"": ""green""}, {""name"": ""fig"", ""impact"": ""green""}]","[{""name"": ""green grapes"", ""impact"": ""yellow""}, {""name"": ""fig"", ""impact"": ""yellow""}]",0.00
upload_1750185016838_9f1b1b2d-edab-473c-8a09-a7ade40c25a4,gpt-4.1,"[{""name"": ""pastry crust"", ""impact"": ""red""}, {""name"": ""cheese"", ""impact"": ""yellow""}, {""name"": ""green bell pepper"", ""impact"": ""green""}, {""name"": ""red bell pepper"", ""impact"": ""green""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""eggs"", ""impact"": ""yellow""}]","[{""name"": ""pie crust (pastry)"", ""impact"": ""red""}, {""name"": ""eggs"", ""impact"": ""green""}, {""name"": ""cheese"", ""impact"": ""yellow""}, {""name"": ""bell peppers"", ""impact"": ""green""}, {""name"": ""mushrooms"", ""impact"": ""green""}, {""name"": ""onions"", ""impact"": ""green""}]",33.33
upload_1750185057801_517dd09d-f8aa-4e48-93d1-820958817b61,gpt-4.1,"[{""name"": ""black grapes"", ""impact"": ""green""}]","[{""name"": ""black grapes"", ""impact"": ""yellow""}]",0.00
upload_1750258584589_12758bd6-3c31-4ee6-bc2a-564be686406a,gpt-4.1,"[{""name"": ""oat roll bread"", ""impact"": ""yellow""}, {""name"": ""chicken"", ""impact"": ""green""}, {""name"": ""leafy greens"", ""impact"": ""green""}, {""name"": ""pickles"", ""impact"": ""yellow""}]","[{""name"": ""whole grain oat baguette"", ""impact"": ""yellow""}, {""name"": ""chicken breast"", ""impact"": ""green""}, {""name"": ""pickles"", ""impact"": ""green""}, {""name"": ""leafy greens"", ""impact"": ""green""}, {""name"": ""mayonnaise or spread"", ""impact"": ""yellow""}]",20.00
upload_1750262216722_694c7c7e-8827-45c3-af60-5558775251dd,gpt-4.1,"[{""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""mixed seeds"", ""impact"": ""green""}, {""name"": ""salad dressing"", ""impact"": ""yellow""}]","[{""name"": ""lettuce"", ""impact"": ""green""}, {""name"": ""sunflower seeds"", ""impact"": ""green""}, {""name"": ""light salad dressing"", ""impact"": ""yellow""}, {""name"": ""seasonings (pepper, herbs)"", ""impact"": ""green""}]",25.00
